TaskID,TaskName,Start,Finish,DurationHours,IsElapsed,Assignments
3917,32 Seal Weld Diaphragm&Ikat Bolt Cover,2024-06-19 00:00:00,2024-06-19 03:00:00,3.000,Y,Har Instalasi & Repair Pabrik 4(3.0)
3873,11 BAPM,2024-06-19 00:00:00,2024-06-19 01:00:00,1.000,Y,Operasi(1.0)
576,"11 Steel Test 100 % , Total Tube (500) Ea",2024-06-19 00:00:00,2024-06-19 20:00:00,20.000,Y,Out Soorcing (Eddy Curent)(4.0)
1328,"08 Eddy Current Tes 100%, Total Tube (714) Ea",2024-06-19 00:00:00,2024-06-20 01:00:00,25.000,Y,Out Soorcing (Eddy Curent)(4.0)
4782,"10 Mechanical Cleaning, Blow dengan Udara Total Tube (350 U-Tube)",2024-06-19 00:00:00,2024-06-20 11:00:00,35.000,Y,Out Soorcing (Jetter)(4.0)
3874,12 BAPM,2024-06-19 00:00:00,2024-06-19 01:00:00,1.000,Y,Inspeksi Pabrik 4(1.0)
1409,"09 Eddy Current Test 100%, Total Tube (2438) Ea (2 PROBE)",2024-06-19 00:00:00,2024-06-20 21:00:00,45.000,Y,Inspeksi Metalurgi(4.0)
2901,09 Mechanical Cleaning Internal Tube&Blow dengan Udara Total Tube (461 U-Tube) Ea,2024-06-19 00:00:00,2024-06-20 01:00:00,25.000,Y,Out Soorcing (Jetter)(4.0)
3920,35 Ikat Bolt Cover,2024-06-19 00:00:00,2024-06-19 04:00:00,4.000,Y,Harlap Amoniak P4(6.0)
1954,"09 Eddy Curent Test 100%, Total Tube (803 U-Tube) 2 Probe",2024-06-19 00:00:00,2024-06-20 06:00:00,30.000,Y,Out Soorcing (Eddy Curent)(4.0)
3919,34 Penetrant Test,2024-06-19 00:00:00,2024-06-19 01:00:00,1.000,Y,Inspeksi Pabrik 4(1.0)
3875,13 BAPM,2024-06-19 00:00:00,2024-06-19 01:00:00,1.000,Y,Harlap Amoniak P4(1.0)
289,20 Dryout,2024-06-19 00:00:00,2024-06-22 00:00:00,72.000,Y,Operasi(1.0)
3168,ADD Ganti oli reservoir,2024-06-19 00:00:00,2024-06-19 12:00:00,12.000,Y,Harlap Amoniak P4(1.0)
3916,31 Setting Diaphragm&Pasang Jig Tool Diaphragm,2024-06-19 00:00:00,2024-06-19 02:00:00,2.000,Y,Har Instalasi & Repair Pabrik 4(3.0)
3918,33 Seal Weld Diaphragm&Ikat Bolt Cover,2024-06-19 00:00:00,2024-06-19 03:00:00,3.000,Y,Harlap Amoniak P4(4.0)
560,28 Dryout,2024-06-19 00:00:00,2024-06-22 00:00:00,72.000,Y,Operasi(2.0)
1928,08 Mechanical Cleaning Tube Side&Blow dengan Udara Total Tube (803 U-Tube) 2 JETER,2024-06-19 00:00:00,2024-06-20 21:00:00,45.000,Y,Out Soorcing (Jetter)(4.0)
2475,ADD Chem  cleaning catridge filter,2024-06-19 00:00:00,2024-06-20 00:00:00,24.000,Y,PPE(1.0)
3898,Add. Buka ferrule,2024-06-19 00:00:00,2024-06-19 05:00:00,5.000,Y,Harlap Amoniak P4(1.0)
4,01 Shut Down Dan Pengamanan,2024-06-19 00:00:00,2024-06-21 00:00:00,48.000,Y,Operasi(4.0)
1676,ADD Ganti oli reservoir,2024-06-19 00:00:00,2024-06-19 12:00:00,12.000,Y,Harlap Amoniak P4(1.0)
4180,"11 Mechanical Cleaning Tube, Blow dengan Udara, Total Tube (502) Ea",2024-06-19 00:00:00,2024-06-20 01:00:00,25.000,Y,Out Soorcing (Jetter)(4.0)
3876,14 Angkat Cover sisi NPK,2024-06-19 01:00:00,2024-06-19 05:00:00,4.000,Y,Har ABB Operasi(3.0)
3877,15 Ikat Bot'l Cover sisi NPK,2024-06-19 05:00:00,2024-06-19 09:00:00,4.000,Y,Harlap Amoniak P4(3.0)
3013,13 Repair Tunggu (Rec.Istek),2024-06-19 09:00:00,2024-06-20 09:00:00,10.000,N,Har Instalasi & Repair Pabrik 4(3.0)
6060,Ganti line yang korosi,2024-06-19 09:00:00,2024-06-19 14:00:00,4.000,N,Har Instalasi & Repair Pabrik 4(3.0)
3904,20 Inspect jika ada Repair,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Inspeksi Pabrik 4(1.0)
3279,01 Lepas Piping,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Harlap Amoniak P4(2.0)
4231,01 Pasang Scaffolding sisi NPK&Pabrik 1A (Bersamaan dengan A & B),2024-06-19 09:00:00,2024-06-19 11:00:00,2.000,N,Har PU Scaffolding(4.0)
5752,07 Repair&Fabrikasi Internal SV,2024-06-19 09:00:00,2024-06-20 09:00:00,10.000,N,Har Bkl Permesin(1.0)
5476,06 Check&Repair Internal SV,2024-06-19 09:00:00,2024-06-21 09:00:00,20.000,N,Har Bkl Valve(2.0)
2783,01 Buka Man Hole Bottom,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Harlap Amoniak P4(2.0)
6050,Ganti line yang korosi,2024-06-19 09:00:00,2024-06-19 14:00:00,4.000,N,Har Instalasi & Repair Pabrik 4(3.0)
6031,Ganti line ,2024-06-19 09:00:00,2024-06-19 14:00:00,4.000,N,Har Instalasi & Repair Pabrik 4(3.0)
297,27 Lepas Scaffold di Tee Header (4 Tempat),2024-06-19 09:00:00,2024-06-19 11:00:00,2.000,N,Har PU Scaffolding(4.0)
6036,Ganti line yang korosi,2024-06-19 09:00:00,2024-06-19 14:00:00,4.000,N,Har Instalasi & Repair Pabrik 4(3.0)
4262,01 Pasang Scaffolding sisi NPK&Pabrik 1A untuk Gantungan Chain Block,2024-06-19 09:00:00,2024-06-19 11:00:00,2.000,N,Har PU Scaffolding(4.0)
2719,23 Angkat Cover Bottom,2024-06-19 09:00:00,2024-06-19 11:00:00,2.000,N,Har ABB Operasi(4.0)
5544,06 Check&Repair Internal SV,2024-06-19 09:00:00,2024-06-21 09:00:00,20.000,N,Har Bkl Valve(2.0)
3425,01 Lepas SV,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Harlap Amoniak P4(3.0)
5993,Brushing & repainting,2024-06-19 09:00:00,2024-06-19 11:00:00,2.000,N,Har PU Pengecatan Peralatan(3.0)
5886,Buka Cover Lube oil cooler,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Harlap Amoniak P4(2.0)
2717,21 Angkat Cover Top,2024-06-19 09:00:00,2024-06-19 11:00:00,2.000,N,Har ABB Operasi(4.0)
386,76 Ikat Bolt Check Valve,2024-06-19 09:00:00,2024-06-19 14:00:00,4.000,N,Harlap Amoniak P4(4.0)
4680,01 Pasang Scaffold sisi Laut&Pabrik 5,2024-06-19 09:00:00,2024-06-19 12:00:00,3.000,N,Har PU Scaffolding(4.0)
1730,01 Lepas SV,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Harlap Amoniak P4(3.0)
5873,04 Aditional Pipe Shop,2024-06-19 09:00:00,2024-07-07 09:00:00,180.000,N,Har Bkl Pengelasan Shop(4.0)
5746,01 Lepas SV,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Harlap Amoniak P4(3.0)
2711,16 Final Inspect,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Inspeksi Pabrik 4(1.0)
385,75 Angkat&Pasang Check Valve,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Har ABB Operasi(4.0)
2186,54 Final Inspect,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Inspeksi Pabrik 4(1.0)
3541,"01 Potong BV u/s d/s FV-5002 A 4""",2024-06-19 09:00:00,2024-06-19 14:00:00,4.000,N,Har Instalasi & Repair Pabrik 4(3.0)
2796,13 Pasang Isolasi diLasan DMW Coil Rube to Weldolet Header,2024-06-19 09:00:00,2024-06-19 14:00:00,4.000,N,Har PU Pekerjaan Khusus(3.0)
6052,Repair Box2 an line drain C-701,2024-06-19 09:00:00,2024-06-19 14:00:00,4.000,N,Har Instalasi & Repair Pabrik 4(3.0)
5909,Potong BV lama,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Har Instalasi & Repair Pabrik 4(3.0)
393,02 Lepas Isolasi sisi luar sesuai tanda Istek,2024-06-19 09:00:00,2024-06-19 12:00:00,3.000,N,Har PU Pekerjaan Khusus(6.0)
1543,37 Balik Upper Casing LPC,2024-06-19 09:00:00,2024-06-19 11:00:00,2.000,N,Har ABB Operasi(4.0)
6017,Pasang scaffolding keliling,2024-06-19 09:00:00,2024-06-19 14:00:00,4.000,N,Har PU Scaffolding(4.0)
1260,04 Cleaning Coil Tube dengan Dry Ice Cleaning,2024-06-19 09:00:00,2024-06-23 09:00:00,40.000,N,Out Soorcing (Dry Ice)(3.0)
5955,Regreasing ,2024-06-19 09:00:00,2024-06-19 11:00:00,2.000,N,Harlap Amoniak P4(1.0)
48,36 Root&Capping Outnlet Hairpin ,2024-06-19 09:00:00,2024-06-20 11:00:00,12.000,N,Har Instalasi & Repair Pabrik 4(3.0)
4841,14 Cleaning Internal,2024-06-19 09:00:00,2024-06-20 09:00:00,10.000,N,Mechanical Cleaning(2.0)
387,77 Repainting Sheel dengan indicating Paint,2024-06-19 09:00:00,2024-06-22 10:00:00,31.000,N,Har PU Pengecatan Peralatan(4.0)
4632,26 Lepas Slip Blind,2024-06-19 09:00:00,2024-06-19 12:00:00,3.000,N,Harlap Amoniak P4(4.0)
614,04 Check&Repair Internal BV d/s FV-2004 10inch,2024-06-19 09:00:00,2024-06-21 09:00:00,20.000,N,Har Bkl Valve(1.0)
3878,16 Lepas Slip Blind,2024-06-19 09:00:00,2024-06-19 11:00:00,2.000,Y,Harlap Amoniak P4(2.0)
561,29 Lepas Scaffold di Man Hole arah Laut sisi NPK&Pabrik 1A,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Har PU Scaffolding(4.0)
409,ADD painting ex pemeriksaan PAUD,2024-06-19 09:00:00,2024-06-19 11:00:00,2.000,N,Har PU Pengecatan Peralatan(1.0)
2722,26 Pasang Isolasi Top&Bottom Cover,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Har PU Pekerjaan Khusus(3.0)
6062,Reposisi BV injeksi Ameral LPFD,2024-06-19 09:00:00,2024-06-19 14:00:00,4.000,N,Har Instalasi & Repair Pabrik 4(3.0)
3845,09 Brush Lasan Tube to Tube Sheet,2024-06-19 09:00:00,2024-06-19 12:00:00,3.000,N,Har Instalasi & Repair Pabrik 4(3.0)
5837,06 Check&Repair Internal SV,2024-06-19 09:00:00,2024-06-21 09:00:00,20.000,N,Har Bkl Valve(2.0)
5223,02 Bawa SV ke Shop,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Forklift 3 Ton (FL-036)(1.0)
3791,01-Pasang Scaffolding sisi Pabrik NPK,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Har PU Scaffolding(4.0)
5415,01 Potong&Las BV Line SC-2009,2024-06-19 09:00:00,2024-06-19 14:00:00,4.000,N,Har Instalasi & Repair Pabrik 4(3.0)
3505,"01 Lepas&Ganti Baru Trap SM hoging TS-431 di bawah K-441 Mat'l TLV type free float 3/4""",2024-06-19 09:00:00,2024-06-20 09:00:00,10.000,N,Harlap Amoniak P4(2.0)
5871,02 Aditional Operasi ABB,2024-06-19 09:00:00,2024-07-07 09:00:00,180.000,N,Har ABB Operasi(4.0)
1516,11 Check Floating/ Thrust Clearance sisi LPC,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Harlap Amoniak P4(3.0)
1586,03 Lepas Isolasi Casing Turbine,2024-06-19 09:00:00,2024-06-19 15:00:00,5.000,N,Har PU Pekerjaan Khusus(4.0)
3078,01 Cooling Down,2024-06-19 09:00:00,2024-06-20 09:00:00,10.000,N,Operasi(1.0)
3079,02 Persiapan tools,2024-06-19 09:00:00,2024-06-20 09:00:00,10.000,N,Harlap Amoniak P4(4.0)
149,06 Leo Scan/ Circum_Measurement Tube Catalyst 100 % Tube Catalyst,2024-06-19 09:00:00,2024-06-19 17:00:00,7.000,N,Inspeksi Metalurgi(4.0)
2479,11 Final Inspect,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Inspeksi Pabrik 4(1.0)
5658,01 Lepas SV,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Harlap Amoniak P4(3.0)
15,06 Leo Scan/ Circum_Measurement Tube Catalyst 100 % Tube Catalyst,2024-06-19 09:00:00,2024-06-19 16:00:00,6.000,N,Inspeksi Metalurgi(4.0)
5967,Regreasing,2024-06-19 09:00:00,2024-06-19 14:00:00,4.000,N,Harlap Amoniak P4(3.0)
1826,"01 Lepas BV steam SM TS-421 12""",2024-06-19 09:00:00,2024-06-19 12:00:00,3.000,N,Harlap Amoniak P4(3.0)
6040,Repair line yang dibox,2024-06-19 09:00:00,2024-06-19 14:00:00,4.000,N,Har Instalasi & Repair Pabrik 4(3.0)
1491,14 Cleaning Internal,2024-06-19 09:00:00,2024-06-20 09:00:00,10.000,N,Mechanical Cleaning(2.0)
2599,"01 Lepas BV u/s FV-7001 6""",2024-06-19 09:00:00,2024-06-19 12:00:00,3.000,N,Harlap Amoniak P4(3.0)
2174,43 Final Inspect,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Inspeksi Pabrik 4(1.0)
4774,03 Turunkan Cover sisi NPK,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Mobile Crane 50 Ton (Exch.)(1.0)
4775,04 Turunkan Cover sisi NPK,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Har ABB Operasi(4.0)
5875,06 Aditional Lapangan Shop,2024-06-19 09:00:00,2024-07-07 09:00:00,180.000,N,Har Bkl Perbaikan Khusus(4.0)
3892,10 Pasang Blower,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Safety(2.0)
3820,08 Brush Lasan Tube to Tube Sheet,2024-06-19 09:00:00,2024-06-19 14:00:00,4.000,N,Har Instalasi & Repair Pabrik 4(3.0)
5983,Pasang scaffolding,2024-06-19 09:00:00,2024-06-19 11:00:00,2.000,N,Har PU Scaffolding(4.0)
5751,06 Check&Repair Internal SV,2024-06-19 09:00:00,2024-06-22 15:00:00,35.000,N,Har Bkl Valve(2.0)
144,01 Buka Man Hole di Ruang Bakar,2024-06-19 09:00:00,2024-06-19 11:00:00,2.000,N,Harlap Amoniak P4(3.0)
6056,Ganti BV,2024-06-19 09:00:00,2024-06-19 14:00:00,4.000,N,Har Instalasi & Repair Pabrik 4(3.0)
5781,01 Lepas SV,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Harlap Amoniak P4(3.0)
2720,24 Ikat Bot'l Cover Bottom,2024-06-19 09:00:00,2024-06-19 18:00:00,8.000,N,Harlap Amoniak P4(4.0)
5573,01 Lepas SV,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Harlap Amoniak P4(3.0)
5870,01 Aditional Mekanik Ammonia,2024-06-19 09:00:00,2024-07-07 09:00:00,180.000,N,Harlap Amoniak P4(6.0)
3635,01 Potong&Las BV d/s Trap Steam Hogging E-425,2024-06-19 09:00:00,2024-06-19 14:00:00,4.000,N,Har Instalasi & Repair Pabrik 4(3.0)
6046,Ganti line yang korosi,2024-06-19 09:00:00,2024-06-19 14:00:00,4.000,N,Har Instalasi & Repair Pabrik 4(3.0)
5997,Brushing & Repainting,2024-06-19 09:00:00,2024-06-19 11:00:00,2.000,N,Har PU Pengecatan Peralatan(3.0)
4622,16 BAPM,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Operasi(1.0)
5957,Potong BV lama,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Har Instalasi & Repair Pabrik 4(3.0)
5917,Buka BV Gearbox,2024-06-19 09:00:00,2024-06-19 12:00:00,3.000,N,Harlap Amoniak P4(4.0)
4634,28 Lepas Scaffold sisi Pabrik NPK,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Har PU Scaffolding(4.0)
4037,"01 Potong&Las BV drain d/s HV-6012B 3/4""",2024-06-19 09:00:00,2024-06-19 14:00:00,4.000,N,Har Instalasi & Repair Pabrik 4(3.0)
559,27 Repainting Body dengan Indicoting Paint,2024-06-19 09:00:00,2024-06-22 09:00:00,30.000,N,Har PU Pengecatan Peralatan(4.0)
5820,06 Check&Repair Internal SV,2024-06-19 09:00:00,2024-06-21 09:00:00,20.000,N,Har Bkl Valve(2.0)
5821,07 Repair&Fabrikasi Internal SV,2024-06-19 09:00:00,2024-06-20 09:00:00,10.000,N,Har Bkl Permesin(1.0)
5874,05 Aditional Machine Shop,2024-06-19 09:00:00,2024-07-07 09:00:00,180.000,N,Har Bkl Permesin(4.0)
5397,01 Lepas SV,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Harlap Amoniak P4(3.0)
4450,01 Lepas SV,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Harlap Amoniak P4(3.0)
6029,Repair flange,2024-06-19 09:00:00,2024-06-23 09:00:00,40.000,N,Har Instalasi & Repair Pabrik 4(3.0)
939,10 Buka Man Hole&Hand Hole untuk Unloading Catalyst,2024-06-19 09:00:00,2024-06-19 11:00:00,2.000,N,Harlap Amoniak P4(3.0)
3581,"01 Potong BV Steam SHH inlet TS-431 10""",2024-06-19 09:00:00,2024-06-19 15:00:00,5.000,N,Har Instalasi & Repair Pabrik 4(3.0)
6034,Buka Box dan repair line,2024-06-19 09:00:00,2024-06-19 14:00:00,4.000,N,Har Instalasi & Repair Pabrik 4(3.0)
1035,01 Cooling Down,2024-06-19 09:00:00,2024-06-20 09:00:00,10.000,N,Operasi(1.0)
4433,01 Lepas SV,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Harlap Amoniak P4(3.0)
1036,02 Persiapan tools,2024-06-19 09:00:00,2024-06-20 09:00:00,10.000,N,Harlap Amoniak P4(4.0)
2402,19 Cleaning Internal,2024-06-19 09:00:00,2024-06-20 15:00:00,15.000,N,Mechanical Cleaning(4.0)
5905,Potong BV lama,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Har Instalasi & Repair Pabrik 4(3.0)
1051,16 Lepas Main Control Valve,2024-06-19 09:00:00,2024-06-19 11:00:00,2.000,N,Harlap Amoniak P4(3.0)
5936,Potong BV lama,2024-06-19 09:00:00,2024-06-19 10:00:00,1.000,N,Har Instalasi & Repair Pabrik 4(3.0)
4633,27 Pasang Isolasi Cover sisi Pabrik NPK,2024-06-19 09:00:00,2024-06-19 11:00:00,2.000,N,Har PU Pekerjaan Khusus(3.0)
