TaskID,TaskName,Predecessors,Resources
0,TA AM4 rev110624,,
1,TURN AROUND PABRIK 4 2024,,
2,AREA : AMMONIA,,
3,SHUT DOWN DAN PENGAMANAN,,
4,01 Shut Down Dan Pengamanan,,Operasi
5,SUB_AREA : REFORMING,,
6,CLASS : FURNACE,,
7,D1-H-201-K4 [Primary Reformer CELL A-B],,
8,"(200000360104 ) [Sisi Tube Catalyst] Buka Man Hole, Check Internal, Seat Gasket Tube, PT, Radiography Random, Circum_Measurement Tube Catalyst 100 %, ∆ P Test total 100 %, Ganti Catalyst (make up) tunggu hasil ∆ P Test, Leo Scan, Ganti Tube Catalyst 6 Ea",,
9,CIRCUM_MEASUREMENT TUBE CATALYST 100 %,,
10,01 Buka Man Hole di Ruang Bakar,,Harlap Amoniak P4
11,02 Lepas Fire Brick di Man Hole,10,Har PU Pekerjaan Khusus
12,03 Pasang Blower di Ruang Bakar,11,Safety
13,04 Cooling Down di Ruang Bakar,12,Operasi
14,05 Pasang Scaffold di Ruang Bakar  untuk Leo Scan/ Circum_Measurement Tube Catalyst 100 % Tube Catalyst ( NA),13,Har PU Scaffolding
15,06 Leo Scan/ Circum_Measurement Tube Catalyst 100 % Tube Catalyst,,Inspeksi Metalurgi
16,07 PT Tube Catalyst,15,Inspeksi Pabrik 4
17,08 RT Tube Catalyst Random,16,Inspeksi Bengkel
18,09 Lepas Scaffold di Ruang Bakar setelah Leo Scan/ Circum_Measurement Tube Catalyst 100 % Tube Catalyst ( NA ),17,Har PU Scaffolding
19,10 Repair Ruang Bakar tunggu (Rec.Istek,18,Har PU Pekerjaan Khusus
20,11 Repair Ruang Bakar tunggu (Rec.Istek,"19,175",Har Instalasi & Repair Pabrik 4
21,12 Final Inspect,20,Inspeksi Pabrik 4
22,13 Cleaning dg Vacum Cleaner,21,Mechanical Cleaning
23,14 Lepas Blower,22,Safety
24,15 BAPM,23,Operasi
25,16 BAPM,24,Inspeksi Pabrik 4
26,17 BAPM,25,Harlap Amoniak P4
27,18 Pasang Fire Brick di Man Hole,26,Har PU Pekerjaan Khusus
28,19 Pasang Man Hole di Ruang Bakar setelah pekerjaan internal selesai,27,Harlap Amoniak P4
29,GANTI TUBE CATALYST 2 TUBE (sesuai hasil delta P test) TUNGGU REC. ISTEK,,
30,20 Buka Atap untuk pengangkatan Tube,15,Mobile Crane 130 Ton (CM-010)
31,21 Buka Atap untuk pengangkatan Tube,30,Har ABB Operasi
32,22 Buka Atap untuk pengangkatan Tube,31,Har PU Pekerjaan Khusus
33,23 Lepas Isolasi In/ Outlet Hairpin,32,Har PU Pekerjaan Khusus
34,24 Marking u/ Pemotongan In/ Outlet Hairpin ,33,Inspeksi Pabrik 4
35,25 Potong dg. GerindaInlet Hairpin ,34,Har Instalasi & Repair Pabrik 4
36,26 Potong dg. Gerinda Outlet Hairpin ,35,Har Instalasi & Repair Pabrik 4
37,27 Cabut Tube Catalys ,36,Mobile Crane 130 Ton (CM-010)
38,28 Cabut Tube Catalyst ,37,Har ABB Operasi
39,29 Gerinda&Bersihkan bekas Potongan Inlet Hairpin ,38,Har Instalasi & Repair Pabrik 4
40,30 PT.Ujung&Permukaan Inlet Hairpin ,39,Inspeksi Pabrik 4
41,31 Bevelling Outlet Hairpin ,40,Har Instalasi & Repair Pabrik 4
42,32 PT. Bevel Outlet Hairpin ,41,Inspeksi Pabrik 4
43,PASANG TUBE CATALYST,,
44,33 Masukan Tube Catalyst ,42,Mobile Crane 130 Ton (CM-010)
45,34 Masukan Tube Catalyst ,44,Har ABB Operasi
46,PENGELASAN INLET TUBE CATALYST (2 Tube),,
47,35 Fit_Up Outlet Hairpin ,45,Har Instalasi & Repair Pabrik 4
48,36 Root&Capping Outnlet Hairpin ,,Har Instalasi & Repair Pabrik 4
49,37 RT Outlet Hairpin ,48,Inspeksi Bengkel
50,38 Pasang Isolasi Inlet Hairpin ,49,Har PU Pekerjaan Khusus
51,PENGELASAN INLET TUBE CATALYST (2 EA),,
52,39 Fit_Up Inlet Hairpin ,49,Har Instalasi & Repair Pabrik 4
53,40 Root&Capping Inlet Hairpin ,52,Har Instalasi & Repair Pabrik 4
54,41 RT Inlet Hairpin ,53,Inspeksi Pabrik 4
55,42 Pasang Isolasi Outlet Hairpin ,54,Har PU Pekerjaan Khusus
56,∆ P TEST TUBE CATALYST TOTAL 100 %,,
57,BUKA COVER TUBE,,
58,43 Lepas Isolasi area Top Point Tube&Lepas Heat Seal (66 Tube),4,Har PU Pekerjaan Khusus
59,44 Buka Cover Tube Catalyst (66 Tube),58,Harlap Amoniak P4
60,∆ P TEST TUBE CATALYST TOTAL 100 %,,
61,45 ∆ P Test Tube Catalyst (66 tube),59,PPE
62,46 ∆ P Test Tube Catalyst (66 tube),61,Out Soorcing (Catalyst)
63,INSPECT&REPAIR,,
64,47 Inspect Internal,62,Inspeksi Pabrik 4
65,48 Repair Tunggu (Rec.Istek),64,Har Instalasi & Repair Pabrik 4
66,49 Repair Tunggu (Rec.Istek),65,Har PU Pekerjaan Khusus
67,50 Inspect jika ada Repair,66,Inspeksi Pabrik 4
68,LOADING CATALYST,,
69,NAIKAN CATALYST,,
70,51 Naikan Catalyst,67,Mobile Crane 130 Ton (CM-010)
71,52 Naikan Catalyst,70,Har ABB Operasi
72,LOADING CATALYST,,
73,53 Delta P.Test 2 Tube (Kondisi kosong),71,PPE
74,54 Delta P.Test 2 Tube (Kondisi kosong),73,Out Soorcing (Catalyst)
75,55 Loading Catalyst 2 Tube (Charge. I),74,PPE
76,56 Loading Catalyst 2 Tube (Charge. I),75,Out Soorcing (Catalyst)
77,57 Delta P.Test 2 Tube (Charge. I),76,PPE
78,58 Delta P.Test 2 Tube (Charge. I),77,Out Soorcing (Catalyst)
79,59 Loading Catalyst 2 Tube (Charge. II),78,PPE
80,60 Loading Catalyst 2 Tube (Charge. II),79,Out Soorcing (Catalyst)
81,61 Delta P.Test 2 Tube (Charge. II),80,PPE
82,62 Delta P.Test 2 Tube (Charge. II),81,Out Soorcing (Catalyst)
83,63 Loading Catalyst 2 Tube (Charge. III),82,PPE
84,64 Loading Catalyst 2 Tube (Charge. III),83,Out Soorcing (Catalyst)
85,65 Delta P.Test 2 Tube (Charge. III),84,PPE
86,66 Delta P.Test 2 Tube (Charge. III),85,Out Soorcing (Catalyst)
87,FINAL INSPECT&TUTUP COVER TUBE,,
88,67 Final Inspect,86,Inspeksi Pabrik 4
89,68 BAPM,88,Operasi
90,69 BAPM,89,Inspeksi Pabrik 4
91,70 BAPM,90,Harlap Amoniak P4
92,71 Pasang Loos Flange&Ikat Top Cover (72 Ea),91,Harlap Amoniak P4
93,72 Pasang Isolasi Top Cover (72 Ea),92,Har PU Pekerjaan Khusus
94,"[Sisi Radiant Section] Check Ceramics Module, Gap area Expand Fire Brick, Ganti Plate Linning Man Hole (2 Ea)&Cleaning lantai dengan Vacum Cleaner",,
95,73 Pasang Scaffold u/ Repair Check Ceramics Module,2695,Har PU Scaffolding
96,"74 Check Ceramics Module, Gap area Expand Fire Brick&Check Ceramic Fiber pada Nozzle Burner",95,Inspeksi Pabrik 4
97,75 Repair tunggu (Rec. Istek),96,Har PU Pekerjaan Khusus
98,76 Repair tunggu (Rec. Istek),97,Har Instalasi & Repair Pabrik 4
99,77 Lepas&Ganti Plate Linning Man Hole (2 Ea),98,Har Instalasi & Repair Pabrik 4
100,78 Inspect jika ada Repair,99,Inspeksi Pabrik 4
101,79 Lepas Nozzle Burner,100,Harlap Amoniak P4
102,80 Dry ICE Cleaning Nozzle Burner,,Out Soorcing (Dry Ice)
103,81 Inspect setelah Dry ICE Cleaning Nozzle Burner,102,Inspeksi Pabrik 4
104,82 Pasang Nozzle Burner,103,Harlap Amoniak P4
105,83 Lepas Scaffold u/ Repair Check Ceramics Module,104,Har PU Scaffolding
106,84 Cleaning lantai dengan Vacum Cleaner,105,Mechanical Cleaning
107,[Sisi Transtation Section] Ganti Firebrick Mat'l LBK-26 jumlah 5000 ea Rec.140000069362 tgl. 15.01.2024,,
108,85 Pasang Scaffold untuk Ganti Ganti Firebrick Mat'l LBK-26 jumlah 5000 ea dari Bawah sampai atas,4,Har PU Scaffolding
109,86 Check untuk Ganti Ganti Firebrick Mat'l LBK-26 jumlah 5000 ea,108,Inspeksi Pabrik 4
110,87 Ganti Ganti Firebrick Mat'l LBK-26 jumlah 5000 ea,109,Har PU Pekerjaan Khusus
111,88 Inspect Ganti Ganti Firebrick Mat'l LBK-26 jumlah 5000 ea,110,Inspeksi Pabrik 4
112,"[Sisi Transtation Section] Check Ceramics Module Roof, Dinding, Castable Comer area Ducting",,
113,"89 Pasang Scaffold u/ Ceramics Module Roof, Dinding, Castable down Comer area Ducting","111,18",Har PU Scaffolding
114,"90 Check Ceramics Module Roof, Dinding, Castable down Comer area Ducting",,Inspeksi Pabrik 4
115,91 Repair tunggu (Rec. Istek),,Har Instalasi & Repair Pabrik 4
116,92 Repair tunggu (Rec. Istek),115,Har PU Pekerjaan Khusus
117,93 Inspect jika ada Repair,116,Inspeksi Pabrik 4
118,"94 Lepas Scaffold u/ Ceramics Module Roof, Dinding, Castable down Comer area Ducting",117,Har PU Scaffolding
119,"[Sight Port Gas Burner] Lepas&Ganti Sight Port Gas Burner BI-1, CI-3 (9 ea) Rec. 140000048791",,
120,95 Lepas Burner,59,Harlap Amoniak P4
121,96 Check Internal,120,Inspeksi Pabrik 4
122,97 Repair Repair tunggu (Rec. Istek),121,Har Instalasi & Repair Pabrik 4
123,98 Repair tunggu (Rec. Istek),122,Har PU Pekerjaan Khusus
124,99 Final Internal,123,Inspeksi Pabrik 4
125,100 Pasang Burner,124,Harlap Amoniak P4
126,"Ganti Baut Burner yang patah (3 ea burner) Row 7A No.01,14 dan Row 7C No.10",,
127,"101 Lepas Bol't Burner (Row 7A No.01,14 dan Row 7C No.10)",125,Harlap Amoniak P4
128,"102 Repair/ Tap Bol't Burner (Row 7A No.01,14 dan Row 7C No.10)",127,Harlap Amoniak P4
129,"103 Pasang Bol't Burner (Row 7A No.01,14 dan Row 7C No.10)",128,Harlap Amoniak P4
130,GANTI ATAP,,
131,104 Naikkan Atap,164,Mobile Crane 130 Ton (CM-010)
132,105 Naikkan Atap,131,Har ABB Operasi
133,106 Lepas&Pasang Atap,132,Har PU Pekerjaan Khusus
134,107 Turunkan Atap,133,Mobile Crane 130 Ton (CM-010)
135,108 Turunkan Atap,134,Har ABB Operasi
136,(200000296817) [Spring Pig Tail] Ganti Spring Pig Tail sesuai (150 ea) Rec.140000045470,,
137,01 Pasang Papan Scaffold di atas Hairpin,"226,113",Har PU Scaffolding
138,02 Lepas&Pasang Spring Pig Tail yg baru,137,Harlap Amoniak P4
139,03 Inspect pemasangan Spring Pig Tail yg baru,138,Inspeksi Pabrik 4
140,04 Lepas Papan Scaffold di atas Hairpin,139,Har PU Scaffolding
141,D1-H-201-K4 [Primary Reformer CELL C-D],,
142,"(200000360105 ) [Sisi Tube Catalyst] Buka Man Hole, Check Internal, Seat Gasket Tube, PT, Radiography Random, Circum_Measurement Tube Catalyst 100 %, ∆ P Test total 100 %, Ganti Catalyst (make up) tunggu hasil ∆ P Test, Leo Scan, Ganti Tube Catalyst 6 Ea",,
143,CIRCUM_MEASUREMENT TUBE CATALYST 100 %,,
144,01 Buka Man Hole di Ruang Bakar,,Harlap Amoniak P4
145,02 Lepas Fire Brick di Man Hole,144,Har PU Pekerjaan Khusus
146,03 Pasang Blower di Ruang Bakar,145,Safety
147,04 Cooling Down di Ruang Bakar,146,Operasi
148,05 Pasang Scaffold di Ruang Bakar untuk Leo Scan/ Circum_Measurement Tube Catalyst 100 % Tube Catalyst     ( NA ),"147,14",Har PU Scaffolding
